gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	pairID	heuristic	subcase	template
non-entailment	( ( The managers ) ( ( saw ( the secretaries ) ) . ) )	( ( The secretaries ) ( ( saw ( the managers ) ) . ) )	(ROOT (S (NP (DT The) (NNS managers)) (VP (VBD saw) (NP (DT the) (NNS secretaries))) (. .)))	(ROOT (S (NP (DT The) (NNS secretaries)) (VP (VBD saw) (NP (DT the) (NNS managers))) (. .)))	The managers saw the secretaries .	The secretaries saw the managers .	ex6	lexical_overlap	ln_subject/object_swap	temp1
non-entailment	( ( The banker ) ( ( recommended ( ( the judge ) ( by ( the presidents ) ) ) ) . ) )	( ( The judge ) ( ( recommended ( the presidents ) ) . ) )	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD recommended) (NP (NP (DT the) (NN judge)) (PP (IN by) (NP (DT the) (NNS presidents))))) (. .)))	(ROOT (S (NP (DT The) (NN judge)) (VP (VBD recommended) (NP (DT the) (NNS presidents))) (. .)))	The banker recommended the judge by the presidents .	The judge recommended the presidents .	ex1080	lexical_overlap	ln_preposition	temp6
non-entailment	( ( ( The actors ) ( who ( recommended ( the senators ) ) ) ) ( ( called ( the artists ) ) . ) )	( ( The artists ) ( ( called ( the senators ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS actors)) (SBAR (WHNP (WP who)) (S (VP (VBD recommended) (NP (DT the) (NNS senators)))))) (VP (VBD called) (NP (DT the) (NNS artists))) (. .)))	(ROOT (S (NP (DT The) (NNS artists)) (VP (VBD called) (NP (DT the) (NNS senators))) (. .)))	The actors who recommended the senators called the artists .	The artists called the senators .	ex2040	lexical_overlap	ln_relative_clause	temp13
non-entailment	( ( The banker ) ( ( was ( encouraged ( by ( the athletes ) ) ) ) . ) )	( ( The banker ) ( ( encouraged ( the athletes ) ) . ) )	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD was) (VP (VBN encouraged) (PP (IN by) (NP (DT the) (NNS athletes))))) (. .)))	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD encouraged) (NP (DT the) (NNS athletes))) (. .)))	The banker was encouraged by the athletes .	The banker encouraged the athletes .	ex3239	lexical_overlap	ln_passive	temp20
non-entailment	( ( ( The scientist ) ( and ( the student ) ) ) ( ( called ( the athlete ) ) . ) )	( ( The student ) ( ( called ( the scientist ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN scientist)) (CC and) (NP (DT the) (NN student))) (VP (VBD called) (NP (DT the) (NN athlete))) (. .)))	(ROOT (S (NP (DT The) (NN student)) (VP (VBD called) (NP (DT the) (NN scientist))) (. .)))	The scientist and the student called the athlete .	The student called the scientist .	ex4995	lexical_overlap	ln_conjunction	temp23
entailment	( ( ( The tourist ) ( who ( ( the banker ) contacted ) ) ) ( ( called ( the lawyers ) ) . ) )	( ( The banker ) ( ( contacted ( the tourist ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN tourist)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN banker)) (VP (VBD contacted))))) (VP (VBD called) (NP (DT the) (NNS lawyers))) (. .)))	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD contacted) (NP (DT the) (NN tourist))) (. .)))	The tourist who the banker contacted called the lawyers .	The banker contacted the tourist .	ex5574	lexical_overlap	le_relative_clause	temp26
entailment	( ( ( The athlete ) ( by ( the doctors ) ) ) ( ( encouraged ( the senator ) ) . ) )	( ( The athlete ) ( ( encouraged ( the senator ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN athlete)) (PP (IN by) (NP (DT the) (NNS doctors)))) (VP (VBD encouraged) (NP (DT the) (NN senator))) (. .)))	(ROOT (S (NP (DT The) (NN athlete)) (VP (VBD encouraged) (NP (DT the) (NN senator))) (. .)))	The athlete by the doctors encouraged the senator .	The athlete encouraged the senator .	ex6983	lexical_overlap	le_around_prepositional_phrase	temp30
entailment	( ( ( The actors ) ( who ( thanked ( the students ) ) ) ) ( ( admired ( the secretaries ) ) . ) )	( ( The actors ) ( ( admired ( the secretaries ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS actors)) (SBAR (WHNP (WP who)) (S (VP (VBD thanked) (NP (DT the) (NNS students)))))) (VP (VBD admired) (NP (DT the) (NNS secretaries))) (. .)))	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD admired) (NP (DT the) (NNS secretaries))) (. .)))	The actors who thanked the students admired the secretaries .	The actors admired the secretaries .	ex7263	lexical_overlap	le_around_relative_clause	temp31
entailment	( ( The actors ) ( ( recognized ( ( the lawyer ) ( and ( the professor ) ) ) ) . ) )	( ( The actors ) ( ( recognized ( the professor ) ) . ) )	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD recognized) (NP (NP (DT the) (NN lawyer)) (CC and) (NP (DT the) (NN professor)))) (. .)))	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD recognized) (NP (DT the) (NN professor))) (. .)))	The actors recognized the lawyer and the professor .	The actors recognized the professor .	ex8976	lexical_overlap	le_conjunction	temp33
entailment	( ( The manager ) ( ( was ( encouraged ( by ( the secretary ) ) ) ) . ) )	( ( The secretary ) ( ( encouraged ( the manager ) ) . ) )	(ROOT (S (NP (DT The) (NN manager)) (VP (VBD was) (VP (VBN encouraged) (PP (IN by) (NP (DT the) (NN secretary))))) (. .)))	(ROOT (S (NP (DT The) (NN secretary)) (VP (VBD encouraged) (NP (DT the) (NN manager))) (. .)))	The manager was encouraged by the secretary .	The secretary encouraged the manager .	ex9599	lexical_overlap	le_passive	temp35
