gold_label	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	pairID	heuristic	subcase	template
non-entailment	( ( ( The tourist ) ( who ( ( the banker ) contacted ) ) ) ( ( called ( the lawyers ) ) . ) )	( ( The banker ) ( ( contacted ( the tourist ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN tourist)) (SBAR (WHNP (WP who)) (S (NP (DT the) (NN banker)) (VP (VBD contacted))))) (VP (VBD called) (NP (DT the) (NNS lawyers))) (. .)))	(ROOT (S (NP (DT The) (NN banker)) (VP (VBD contacted) (NP (DT the) (NN tourist))) (. .)))	The tourist who the banker contacted called the lawyers .	The banker did not contact the tourist .	ex5574	lexical_overlap	le_relative_clause	temp26
non-entailment	( ( ( The athlete ) ( by ( the doctors ) ) ) ( ( encouraged ( the senator ) ) . ) )	( ( The athlete ) ( ( encouraged ( the senator ) ) . ) )	(ROOT (S (NP (NP (DT The) (NN athlete)) (PP (IN by) (NP (DT the) (NNS doctors)))) (VP (VBD encouraged) (NP (DT the) (NN senator))) (. .)))	(ROOT (S (NP (DT The) (NN athlete)) (VP (VBD encouraged) (NP (DT the) (NN senator))) (. .)))	The athlete by the doctors encouraged the senator .	The athlete did not encourage the senator .	ex6983	lexical_overlap	le_around_prepositional_phrase	temp30
non-entailment	( ( ( The actors ) ( who ( thanked ( the students ) ) ) ) ( ( admired ( the secretaries ) ) . ) )	( ( The actors ) ( ( admired ( the secretaries ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS actors)) (SBAR (WHNP (WP who)) (S (VP (VBD thanked) (NP (DT the) (NNS students)))))) (VP (VBD admired) (NP (DT the) (NNS secretaries))) (. .)))	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD admired) (NP (DT the) (NNS secretaries))) (. .)))	The actors who thanked the students admired the secretaries .	The actors did not admire the secretaries .	ex7263	lexical_overlap	le_around_relative_clause	temp31
non-entailment	( ( The actors ) ( ( recognized ( ( the lawyer ) ( and ( the professor ) ) ) ) . ) )	( ( The actors ) ( ( recognized ( the professor ) ) . ) )	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD recognized) (NP (NP (DT the) (NN lawyer)) (CC and) (NP (DT the) (NN professor)))) (. .)))	(ROOT (S (NP (DT The) (NNS actors)) (VP (VBD recognized) (NP (DT the) (NN professor))) (. .)))	The actors recognized the lawyer and the professor .	The actors did not recognize the professor .	ex8976	lexical_overlap	le_conjunction	temp33
non-entailment	( ( The manager ) ( ( was ( encouraged ( by ( the secretary ) ) ) ) . ) )	( ( The secretary ) ( ( encouraged ( the manager ) ) . ) )	(ROOT (S (NP (DT The) (NN manager)) (VP (VBD was) (VP (VBN encouraged) (PP (IN by) (NP (DT the) (NN secretary))))) (. .)))	(ROOT (S (NP (DT The) (NN secretary)) (VP (VBD encouraged) (NP (DT the) (NN manager))) (. .)))	The manager was encouraged by the secretary .	The secretary did not encourage the manager .	ex9599	lexical_overlap	le_passive	temp35
non-entailment	( ( ( The students ) ( and ( the secretaries ) ) ) ( ( mentioned ( the doctor ) ) . ) )	( ( The secretaries ) ( ( mentioned ( the doctor ) ) . ) )	(ROOT (S (NP (NP (DT The) (NNS students)) (CC and) (NP (DT the) (NNS secretaries))) (VP (VBD mentioned) (NP (DT the) (NN doctor))) (. .)))	(ROOT (S (NP (DT The) (NNS secretaries)) (VP (VBD mentioned) (NP (DT the) (NN doctor))) (. .)))	The students and the secretaries mentioned the doctor .	The secretaries did not mention the doctor .	ex15274	subsequence	se_conjunction	temp44
non-entailment	( ( Important athletes ) ( arrived . ) )	( Athletes ( arrived . ) )	(ROOT (S (NP (JJ Important) (NNS athletes)) (VP (VBD arrived)) (. .)))	(ROOT (S (NP (NNS Athletes)) (VP (VBD arrived)) (. .)))	Important athletes arrived .	Athletes did not arrive .	ex16997	subsequence	se_adjective	temp46
non-entailment	( ( The lawyer ) ( ( won ( the tournament ) ) . ) )	( ( The lawyer ) ( won . ) )	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD won) (NP (DT the) (NN tournament))) (. .)))	(ROOT (S (NP (DT The) (NN lawyer)) (VP (VBD won)) (. .)))	The lawyer won the tournament .	The lawyer did not win .	ex17081	subsequence	se_understood_object	temp47
non-entailment	( ( The students ) ( ( saw ( ( the tourist ) ( that waited ) ) ) . ) )	( ( The students ) ( ( saw ( the tourist ) ) . ) )	(ROOT (S (NP (DT The) (NNS students)) (VP (VBD saw) (NP (NP (DT the) (NN tourist)) (SBAR (WHNP (WDT that)) (S (VP (VBD waited)))))) (. .)))	(ROOT (S (NP (DT The) (NNS students)) (VP (VBD saw) (NP (DT the) (NN tourist))) (. .)))	The students saw the tourist that waited .	The students did not see the tourist .	ex18658	subsequence	se_relative_clause_on_obj	temp48
non-entailment	( ( The lawyers ) ( ( saw ( ( the professor ) ( behind ( the bankers ) ) ) ) . ) )	( ( The lawyers ) ( ( saw ( the professor ) ) . ) )	(ROOT (S (NP (DT The) (NNS lawyers)) (VP (VBD saw) (NP (NP (DT the) (NN professor)) (PP (IN behind) (NP (DT the) (NNS bankers))))) (. .)))	(ROOT (S (NP (DT The) (NNS lawyers)) (VP (VBD saw) (NP (DT the) (NN professor))) (. .)))	The lawyers saw the professor behind the bankers .	The lawyers did not see the professor .	ex19409	subsequence	se_PP_on_obj	temp49
non-entailment	( ( While ( ( the scientists ) ( saw ( the tourists ) ) ) ) ( , ( ( ( the artist ) resigned ) . ) ) )	( ( The scientists ) ( ( saw ( the tourists ) ) . ) )	(ROOT (S (SBAR (IN While) (S (NP (DT the) (NNS scientists)) (VP (VBD saw) (NP (DT the) (NN tourists))))) (, ,) (S (NP (DT the) (NN artist)) (VP (VBD resigned))) (. .)))	(ROOT (S (NP (DT The) (NNS scientists)) (VP (VBD saw) (NP (DT the) (NN tourists))) (. .)))	While the scientists saw the tourists , the artist resigned .	The scientists did not see the tourists .	ex25113	constituent	ce_embedded_under_since	temp59
non-entailment	( ( Since ( ( the author ) ( introduced ( the actors ) ) ) ) ( , ( ( ( the senators ) ( called ( the tourists ) ) ) . ) ) )	( ( The senators ) ( ( called ( the tourists ) ) . ) )	(ROOT (S (SBAR (IN Since) (S (NP (DT the) (NN author)) (VP (VBD introduced) (NP (DT the) (NN actors))))) (, ,) (S (NP (DT the) (NNS senators)) (VP (VBD called) (NP (DT the) (NN tourists)))) (. .)))	(ROOT (S (NP (DT The) (NNS senators)) (VP (VBD called) (NP (DT the) (NN tourists))) (. .)))	Since the author introduced the actors , the senators called the tourists .	The senators did not call the tourists .	ex26200	constituent	ce_after_since_clause	temp60
non-entailment	( ( The athlete ) ( ( remembered ( that ( ( the artist ) ( introduced ( the doctor ) ) ) ) ) . ) )	( ( The artist ) ( ( introduced ( the doctor ) ) . ) )	(ROOT (S (NP (DT The) (NN athlete)) (VP (VBD remembered) (SBAR (IN that) (S (NP (DT the) (NN artist)) (VP (VBD introduced) (NP (DT the) (NN doctor)))))) (. .)))	(ROOT (S (NP (DT The) (NN artist)) (VP (VBD introduced) (NP (DT the) (NN doctor))) (. .)))	The athlete remembered that the artist introduced the doctor .	The artist did not introduce the doctor .	ex27636	constituent	ce_embedded_under_verb	temp61
